code;canonical;country;state;city;name
BLN;BLN;IRE;;;BALLINROBE
BLR;BLR;AUS;;;BALRANALD
BNA;BNA;AUS;;;BANANA
BNG;BNG;KOR;;;BUSAN GYEONGNAM
BOD;BOD;ENG;;;BANGOR-ON-DEE
BOP;BOP;NZ ;;;BAY OF PLENTY
BOR;BOR;FR ;;;LA TESTE DE BUCH
BOT;BOT;BEL;;;BOITSFORT
BOU;BOU;AUS;;;BOULIA
BOV;BOV;FR ;;;BOUVRON
BPA;BPA;SWE;;;BRO PARK
BRA;BRA;AUS;;;BOOROWA
BRB;BRB;AUS;;;BARRABA
BRC;BRC;AUS;;;BARCALDINE
BRE;BRE;GER;;;BREMEN
BRG;BRG;ENG;;;BRIGHTON
BRH;BRH;AUS;;;BROKEN HILL
BRI;BRI;AUS;;;BERRI
BRK;BRK;AUS;;;BOURKE
BRM;BRM;AUS;;;BROOME
BRW;BRW;AUS;;;BREWARRINA
BSM;BSM;FR ;;;BERCK-SUR-MER
BSP;BSP;FR ;;;BORDEAUX SPORTIVE
BSS;BSS;FR ;;;BEAUMONT-SUR-SARTHE
BTC;BTC;BAR;;;BARBADOS
BTH;BTH;AUS;;;BATHURST
BTN;BTN;AUS;;;BELTANA
BUD;BUD;HUN;;;BUDAPEST
BUG;BUG;FR ;;;BOUGUENAIS
BUI;BUI;ECU;;;HIPODROMO BUIJO
BUN;BUN;AUS;;;BUNGENDORE
BWL;BWL;AUS;;;BOWRAVILLE
BWR;BWR;AUS;;;BOWEN RIVER
CA ;CA ;ITY;;;CAGLIARI
CAB;CAB;ENG;;;CATTERICK BRIDGE
CAI;CAI;AUS;;;CAIRNS
CAN;CAN;AUS;;;CANOWINDRA
CAR;CAR;ENG;;;CARLISLE
CAU;CAU;AUS;;;CAULFIELD
CAV;CAV;FR ;;;CAVAILLON
CAY;CAY;JAM;;;CAYMANAS PARK
CAZ;CAZ;FR ;;;CAZAUBON BARBOTAN THERMES
CBB;CBB;AUS;;;COONABARABRAN
CBC;CBC;AUS;;;COME-BY-CHANCE
CBG;CBG;FR ;;;CABOURG
CBL;CBL;AUS;;;COONAMBLE
CBR;CBR;AUS;;;COBAR MINERS'
CDL;CDL;FR ;;;CHATEAU-DU-LOIR
CDM;CDM;MAU;;;CHAMP DE MARS
CDN;CDN;AUS;;;CEDUNA
CES;CES;AUS;;;CESSNOCK
CFT;CFT;AUS;;;CLIFTON
CGN;CGN;AUS;;;CUNGENA
CHC;CHC;CHI;;;CLUB HIPICO DE CONCEPCION
CHD;CHD;ENG;;;CHELMSFORD CITY
CHE;CHE;ENG;;;CHESTER
CHF;CHF;FR ;;;CHATELAIS-L'HOSTELLERIE
CHI;CHI;FR ;;;CHINON
CHM;CHM;ENG;;;CHELTENHAM
CHN;CHN;AUS;;;CHINCHILLA
CHO;CHO;FR ;;;CHOLET
CHS;CHS;CHI;;;CLUB HIPICO DE SANTIAGO
CHT;CHT;FR ;;;CHATEAUBRIANT
CHU;CHU;CZE;;;CHUCHLE
CHW;CHW;ENG;;;CHEPSTOW
CHY;CHY;FR ;;;CHANTILLY
CJD;CJD;BRZ;;;CIDADE JARDIM
CKT;CKT;AUS;;;COOKTOWN
CKW;CKW;AUS;;;CROOKWELL
CLA;CLA;SAF;;;CLAIRWOOD
CLB;CLB;AUS;;;COOLABAH
CLC;CLC;AUS;;;COLLARENEBRI COMBINED
CLE;CLE;AUS;;;COLERAINE
CLI;CLI;AUS;;;CLIFFORD PARK
CLN;CLN;IRE;;;CLONMEL
CLO;CLO;GER;;;CLOPPENBURG
CLP;CLP;AUS;;;CALLIOPE
CLR;CLR;AUS;;;CLERMONT
CLT;CLT;FR ;;;CERCY-LA-TOUR
CLU;CLU;FR ;;;CLUNY
CMB;CMB;AUS;;;CAMBOON
CMP;CMP;FR ;;;COMPIEGNE
CMW;CMW;AUS;;;CAMOOWEAL
CNA;CNA;AUS;;;CANBERRA ACTON
CNB;CNB;AUS;;;CANBERRA
CNM;CNM;FR ;;;CONDOM
CNO;CNO;ITY;;;CASARANO
CNS;CNS;FR ;;;CHATEAUNEUF SUR CHARENTE
COE;COE;AUS;;;COEN
COF;COF;AUS;;;COFF'S
COH;COH;FR ;;;COMPIEGNE HIPPIQUE
COM;COM;FR ;;;COMBREE
CON;CON;AUS;;;CONDOBOLIN
COO;COO;AUS;;;COOMA
COP;COP;DEN;;;COPENHAGEN
COR;COR;IRE;;;CORK
COT;COT;AUS;;;COOTAMUNDRA
COU;COU;FR ;;;COURTOMER
COV;COV;ENG;;;COVENTRY
COW;COW;AUS;;;COWRA
CP ;CP ;ITY;;;CAPALBIO
CPG;CPG;FR ;;;COMPEIGNE
CPL;CPL;AUS;;;CAPELLA
CPR;CPR;PAN;;;PRESIDENTE REMON
CR ;CR ;ITY;;;CORTONA
CRA;CRA;FR ;;;CRAON
CRD;CRD;AUS;;;CARINDA
CRF;CRF;AUS;;;CORFIELD
CRI;CRI;BRZ;;;CRISTAL
CRO;CRO;NZ ;;;CROMWELL
CRP;CRP;FR ;;;CARPENTRAS
CRR;CRR;FR ;;;CHARTRES
CSC;CSC;FR ;;;CHATILLON-SUR-CHALARONNE
